"entities__affinity__policy","entities__affinity__host_uuids__-","metadata__grand_total_entities","metadata__total_entities","metadata__count","entities__allow_live_migrate","entities__gpus_assigned","entities__boot__disk_address__device_bus","entities__boot__disk_address__device_index","entities__boot__boot_device_type","entities__description","entities__ha_priority","entities__host_uuid","entities__memory_mb","entities__name","entities__num_cores_per_vcpu","entities__num_vcpus","entities__power_state","entities__timezone","entities__uuid","entities__vm_features__AGENT_VM","entities__vm_logical_timestamp"
"","","77","0","77","True","False","","","","Windows 10 Template VM","0","7226122b-c61e-4e37-b246-2f1105516ae3","4096","VM_Window10-2-2","1","1","on","UTC","ffbe8066-79b3-4329-b808-feeecd2eee08","False","4"
"","","","","","True","False","","","","1-Click VM migration from non-Nutanix to Nutanix","0","","4096","Xtract for VMs-Old","2","2","off","UTC","fe0b8ce9-a53e-4f76-b2a1-f7a83783babf","False","5"
"AFFINITY","4c1fa004-c7fe-43e7-bcaf-9847a6061871","","","","False","False","","","","Windows 10 Template VM","0","","4096","cpu-test-5","1","2","off","UTC","d0c96dbc-df4d-4769-923c-21abe8bcf95b","False","2"
"","","","","","True","False","","","","Windows 10 Template VM","0","7226122b-c61e-4e37-b246-2f1105516ae3","4096","SSR_demo","1","1","on","UTC","d244cbe0-88f1-4c2a-8b63-bca0e528d4bd","False","5"
"","","","","","True","False","","","","","0","","4096","Tokhyo-02","1","2","off","UTC","d5b1e108-f541-45f3-9886-3fbdd11faefa","False","6"
"","","","","","True","False","","","","","0","28a908d2-e61a-401a-bcff-6333d8b8232d","4096","NTNX_diagnostics_29991-5519","1","2","on","UTC","dadd022a-50f1-45c7-8226-d07b3ca4af28","False","3"
"","","","","","True","False","","","","","0","28a908d2-e61a-401a-bcff-6333d8b8232d","12288","PC-51","1","4","on","UTC","dd8bacf1-9e76-46f0-b75b-9270ce5649ab","False","6"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-1","1","2","off","UTC","de210421-9da8-4242-a03b-0d63606b7b83","False","1"
"","","","","","True","False","","","","","0","28a908d2-e61a-401a-bcff-6333d8b8232d","16384","Calm-EA","1","8","on","UTC","dec5610f-9feb-4523-b406-a33fd168fc4c","False","7"
"","","","","","True","False","","","","Data mover VM","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","2048","centos_iwa2","1","1","on","UTC","e35c29ff-fd16-4eae-a9d2-67cc44e4acc7","False","2"
"","","","","","True","False","","","","","0","","4096","snapshot-test001","1","1","off","UTC","e1903c5b-3560-44c4-b679-588338b99ae4","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-0-2","1","1","off","UTC","e85d074f-8f7f-403b-88a6-e2805e603240","False","1"
"","","","","","True","False","","","","","0","","4096","KN-clone-100504","1","1","off","UTC","e8f5c68d-86c0-4864-a85a-bdc2ed3b35f5","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","4096","cpu-test-8","1","2","off","UTC","effd6cf6-b0c8-48f0-ae8e-97c4f1ddf74d","False","1"
"","","","","","True","False","","","","","0","7226122b-c61e-4e37-b246-2f1105516ae3","2048","xCOS60","1","1","on","UTC","ec4f4709-bd4e-45ba-8b31-c39f1f1a598d","False","2"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-10","1","2","off","UTC","f720f806-d07a-427e-ab30-23650bfb319d","False","3"
"","","","","","True","False","","","","Windows 10 Master image for XenDesktop MCS","0","28a908d2-e61a-401a-bcff-6333d8b8232d","4096","XD-MCS-RND-002","2","1","on","UTC","038fedbd-e22d-400d-b4ba-a103581542d6","False","5"
"","","","","","True","False","","","","","0","","4096","KN-winsv-01","1","1","off","UTC","02c336ff-410f-4cdf-aef6-c2e77c4e0327","False","3"
"","","","","","True","False","scsi","0","disk","VM for Acropolis Container Cluster default-acs-00055491-8790-133d-0000-000000007527@3","0","28a908d2-e61a-401a-bcff-6333d8b8232d","8192","default-acs-00055491-8790-133d-0000-000000007527@3","2","4","on","UTC","0585a745-3850-48b8-4fc1-6090e506c395","False","8"
"","","","","","True","False","","","","Ubuntu 16.04 Template VM","0","","4096","VM_Ubuntu_16.04","1","1","off","UTC","0f59ed6b-1423-42d9-b412-ef1551d87752","False","2"
"","","","","","True","False","","","","","0","7226122b-c61e-4e37-b246-2f1105516ae3","2048","Foundation_Migration","1","1","on","UTC","1b4155a3-7433-4f3f-9814-d94a4643228a","False","2"
"","","","","","True","False","","","","","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","testlinux-1","1","2","on","UTC","1b91b5dd-c72f-40f3-98f5-f57efd432e9d","False","2"
"AFFINITY","4c1fa004-c7fe-43e7-bcaf-9847a6061871","","","","False","False","","","","Windows 10 Template VM","0","","4096","cpu-test-2","1","4","off","UTC","20ae3ce5-14ce-490d-af85-f668e9a6aede","False","6"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-5","1","2","off","UTC","222c04a4-de4a-4f43-ad57-fc8d4aa75893","False","1"
"","","","","","True","False","","","","","0","","2048","b-test","1","2","off","UTC","2b02d774-3535-4840-9100-e03d7391d4c4","False","1"
"","","","","","True","False","","","","","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","testlinux","1","2","on","UTC","2b20f0f0-e8db-4f19-b104-ec9dbb465661","False","3"
"","","","","","True","False","","","","","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","NTNX_diagnostics_29991-9","1","2","on","UTC","2e30bb0d-cc2a-42e2-8bed-e41505c3ff84","False","3"
"","","","","","True","False","","","","Windows 10 Master image for XenDesktop MCS","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","XD-MCS-DE-002","2","1","on","UTC","30f47415-4257-46cc-b977-916bddba6bda","False","7"
"","","","","","True","False","scsi","0","disk","VM for Acropolis Container Cluster default-acs-00055491-8790-133d-0000-000000007527@1","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","8192","default-acs-00055491-8790-133d-0000-000000007527@1","2","4","on","UTC","39846af0-5505-435c-4e94-68dc6ef8d877","False","10"
"","","","","","True","False","","","","Windows 10 Master image for XenDesktop MCS","0","","4096","XD-MCS-RND-003","2","1","off","UTC","3b130a41-e814-4fee-9b63-ce573920563a","False","11"
"","","","","","True","False","","","","Windows 10 Template VM","0","28a908d2-e61a-401a-bcff-6333d8b8232d","4096","SSPuser1-win10-01","1","2","on","UTC","3e0b3e57-08b8-4bac-959e-9634ccfffc71","False","4"
"AFFINITY","4c1fa004-c7fe-43e7-bcaf-9847a6061871","","","","False","False","","","","Windows 10 Template VM","0","","4096","cpu-test-4","1","2","off","UTC","3e64136c-3b32-40d6-ad1c-c45ba3410ee8","False","2"
"","","","","","True","False","","","","CentOS7 Template VM","0","","4096","VM_CentOS_7-1-5","1","1","off","UTC","45babe97-1fc7-47ec-97fb-237009a589ae","False","2"
"","","","","","True","False","","","","Windows 10 Master image for XenDesktop MCS","0","","4096","XD-MCS-W10-MTR","2","1","off","UTC","4b46a1dc-a886-47a5-80b7-a655b58fb0c2","False","10"
"","","","","","True","False","","","","","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","NTNX_diagnostics_29991-6","1","2","on","UTC","4a8c7f3d-a630-4522-a3b2-a79b1f13e421","False","4"
"","","","","","True","False","","","","","0","","2048","DEMO-CALM-UBUNTU","1","2","off","UTC","4acf421e-f389-456e-8f1c-24714934e035","False","3"
"","","","","","True","False","","","","","0","7226122b-c61e-4e37-b246-2f1105516ae3","4096","NTNX_diagnostics_29991-1031114","1","2","on","UTC","575525ca-3272-479d-a15f-cfb1749d32e5","False","3"
"","","","","","True","False","scsi","0","disk","VM for Acropolis Container Cluster default-acs-00055491-8790-133d-0000-000000007527@2","0","7226122b-c61e-4e37-b246-2f1105516ae3","8192","default-acs-00055491-8790-133d-0000-000000007527@2","2","4","on","UTC","58d14e0b-71cf-4043-7c4e-429455870f5d","False","9"
"","","","","","True","False","scsi","0","disk","VM for Acropolis Container Cluster templateVm","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","templateVm","2","2","on","UTC","638fba8d-2ede-4b02-627e-67a7db43dd77","False","6"
"","","","","","True","False","","","","""VM migrated to 172.16.11.109 by New Migration Plan 20170919 on Tue Sep 19 04:46:38 UTC 2017 by xtract-vm 0.3.327""","0","","8192","w2k8-iwa2","1","2","off","UTC","64df597e-51d6-4f00-bc56-5593b7f203f3","False","12"
"","","","","","True","False","","","","""VM migrated to 172.16.11.109 by GA-Test_UAC-disabled_NIC1_NoVIO on Mon Oct 23 07:39:58 UTC 2017 by xtract-vm 1.0.15\n\nVM migrated to 172.16.11.109 by GA-Test_UAC-disabled_NIC1 on Mon Oct 23 07:07:18 UTC 2017 by xtract-vm 1.0.15\n\nVM migrated to 172.16.11.109 by GA-Test1-UAC_Disable on Mon Oct 23 06:41:37 UTC 2017 by xtract-vm 1.0.15\n\nVM migrated to 172.16.11.109 by GA-Test1 on Mon Oct 23 05:03:32 UTC 2017 by xtract-vm 1.0.15\n\nVM migrated to 172.16.11.109 by Migration Plan 0919-1 on Tue Sep 19 07:04:12 UTC 2017 by xtract-vm 0.3.327""","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","WS2012R2MG-iwa1","2","2","on","UTC","6825a7d0-35e0-4b70-95fc-a8324279d237","False","2"
"","","","","","True","False","","","","Windows 10 Template VM","0","","4096","cpu-test-7","1","2","off","UTC","69a9d0f9-96b8-4050-8ffb-67591bf7d6b5","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","4096","cpu-test-9","1","2","off","UTC","6e373c3f-0c1c-4411-9cab-bd5f6a97f0d8","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","VM_Window10","1","1","on","UTC","6ebe0266-6a46-4ab8-b001-85a77a4571ff","False","13"
"","","","","","True","False","","","","","0","","2048","kn-centos","1","1","off","UTC","70cc4d14-b509-4ec6-81dd-e772367b6789","False","3"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-0-5","1","1","off","UTC","7405151e-a726-4f3b-8207-0b34e27509f5","False","1"
"","","","","","True","False","scsi","0","disk","VM for Acropolis Container Cluster templateVm","0","","2048","templateVm-112","1","1","off","UTC","752f8bba-3d28-4740-a419-5954366695ee","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-1-0-hi1","1","1","off","UTC","75dfdd53-a337-4e17-a3ac-78f15362065b","False","15"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-7","1","2","off","UTC","761413e3-3476-42be-980b-99d83f1bf7f5","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-2","1","2","off","UTC","783c57f9-3924-40d2-a072-12f8d89e912d","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-3","1","2","off","UTC","79536f5b-7326-41d1-9266-9f64bf1115b3","False","1"
"","","","","","True","False","","","","Data mover VM","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","WS2012R2MG-iwa2","1","2","on","UTC","7c953e3c-6a8d-43f4-896f-d7b51c2c952e","False","6"
"","","","","","True","False","","","","","0","7226122b-c61e-4e37-b246-2f1105516ae3","16384","Calm-183","1","4","on","UTC","7cf2bc99-1bef-41cb-96b7-a57e296febf0","False","4"
"","","","","","True","False","","","","Windows 10 Master image for XenDesktop MCS","0","7226122b-c61e-4e37-b246-2f1105516ae3","4096","XD-MCS-DE-001","2","1","on","UTC","7defefe0-f487-49f8-873a-7caf06784779","False","3"
"","","","","","True","False","","","","ubuntu-ja-16.04-desktop-amd64","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","smzk-ubuntu","2","1","on","UTC","7e043637-e5a7-4243-a4df-03deb70d1e4f","False","3"
"","","","","","True","False","","","","CentOS7 Template VM","0","","4096","VM_CentOS_7","1","1","off","UTC","8bea5aaa-06e7-49cd-b070-196e8dee8ed1","False","3"
"AFFINITY","4c1fa004-c7fe-43e7-bcaf-9847a6061871","","","","False","False","","","","Windows 10 Template VM","0","","4096","cpu-test-3","1","2","off","UTC","8948ad35-99a2-4911-af7b-60333718d821","False","2"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-4","1","2","off","UTC","89985a35-c6fc-452f-8c3a-433c8c6682ae","False","1"
"AFFINITY","4c1fa004-c7fe-43e7-bcaf-9847a6061871","","","","False","False","","","","Windows 10 Template VM","0","","4096","cpu-test-1","1","4","off","UTC","8e5873ac-3c35-454d-b744-a43fab415e16","False","18"
"","","","","","True","False","","","","1-Click VM migration from non-Nutanix to Nutanix","0","7226122b-c61e-4e37-b246-2f1105516ae3","4096","Xtract for VMs","2","2","on","UTC","8ea186ad-420f-4af0-bd7b-df65d6acc88d","False","3"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-0-4","1","1","off","UTC","934858e6-19a5-4fdb-b39d-ad61ce4fd63e","False","1"
"","","","","","True","False","","","","CentOS7 Template VM","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","VM_CentOS_7_Akio","1","1","on","UTC","905ec6c6-06b6-47d9-b602-852fdccfc941","False","2"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-8","1","2","off","UTC","919ba7ff-fc2c-4417-a6ae-58a6314d50dc","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-0-3","1","1","off","UTC","94a14c9c-ab20-428f-9b1c-3c896faf3310","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","","4096","cpu-test-6","1","2","off","UTC","9b154cd1-004b-4e80-98a1-2a9a453eab37","False","1"
"","","","","","True","False","","","","","0","","2048","DEMO-CALM-UBUNTU","1","2","off","UTC","9fd2ca40-6915-4af3-927a-f74e9e67bf1a","False","3"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-6","1","2","off","UTC","a7a1f356-f43f-49a0-8410-20fb6b8680fb","False","1"
"","","","","","True","False","scsi","0","disk","VM for Acropolis Container Cluster templateVm","0","","2048","templateVm-11","1","1","off","UTC","a5a096e1-d4ce-4ee0-a2b0-fd32014cdc7d","False","1"
"","","","","","True","False","","","","Windows 10 Template VM","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","2048","VM_Window10-0-1","1","1","on","UTC","b35d2d94-72ee-4495-bda0-83d09ca4c8e0","False","9"
"","","","","","True","False","","","","Windows 10 Master image for XenDesktop MCS","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","XD-MCS-DE-003","2","1","on","UTC","b35b2000-c5e4-4251-9503-09b198f42aa9","False","24"
"","","","","","True","False","","","","Windows 10 Template VM","0","","2048","VM_Window10-hi-9","1","2","off","UTC","b3976176-2e89-468f-8e2e-3cb47a138df7","False","1"
"","","","","","True","False","","","","","0","28a908d2-e61a-401a-bcff-6333d8b8232d","16384","OVM_Mitaka","1","4","on","UTC","b8469e48-95d8-43ea-9602-74ea13388137","False","5"
"","","","","","True","False","","","","Data mover VM","0","7226122b-c61e-4e37-b246-2f1105516ae3","2048","centos_iwa1","1","1","on","UTC","b884edec-e148-4063-a89f-a57a65512812","False","3"
"","","","","","True","False","","","","","0","","4096","KN-winsrv-clone-vc","1","1","off","UTC","bc95de9c-c34d-4a40-900a-f1aa8c083896","False","1"
"AFFINITY","4c1fa004-c7fe-43e7-bcaf-9847a6061871","","","","False","False","","","","","0","","4096","Ubuntu-001","1","1","off","UTC","bd322f1c-f7f6-4220-bfac-b91ef5635b8a","False","6"
"","","","","","True","False","","","","ubuntu-ja-17.04-desktop-amd64","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","smzk-ubuntu17","2","1","on","UTC","c5b65f38-1f87-4ad1-b3f4-a9e558f91c38","False","5"
"","","","","","True","False","","","","Windows 10 Master image for XenDesktop MCS","0","8bdfa168-7bc5-4c66-b4ab-1b8801176179","4096","XD-MCS-RND-001","2","1","on","UTC","cbac90d2-96b6-4c18-95a3-e53acb3e2c7c","False","16"
